Age,male kuwaitis,famale kuwaitis ,total kuwaitis,male nonkuwaitis,female nonkuwaitis ,total nonkuwaitis
infant,16889,15807,32696,11886,10828,22714
4-1,67742,65127,132869,63903,49493,113396
9-5,81250,77718,158968,106149,70257,176406
14-10,71393,68465,139858,87876,58837,146713
19-15,64632,62111,126743,67588,45818,113406
24-20,64172,61919,126091,60966,38688,99654
29-25,55976,55923,111899,62787,42947,105734
34-30,48246,49626,97872,190513,119823,310336
39-35,38976,40657,79633,321560,147205,468765
44-40,34398,37378,71776,336683,142088,478771
49-45,31706,34175,65881,289476,117820,407296
54-50,26381,29153,55534,194387,75033,269420
59-55,20796,23661,44457,127989,46143,174132
64-60,15096,18966,34062,81318,23118,104436
69-65,10168,13129,23297,41901,11923,53824
74-70,6461,8901,15362,16758,5673,22431
79-75,4375,5333,9708,6519,2687,9206
80,4259,4747,9006,5356,2402,7758
Total,662916,672796,1335712,2073615,1010783,3084398
